"gene_name","EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OSTF1","ENSG00000134996",335.784144596313,-0.077071598655141,0.126120915655306,-0.611092920271692,0.541138066512735,0.796248760908022
"METTL5","ENSG00000138382",1649.95572690972,0.0468471895281929,0.0766641997217643,0.611069960923278,0.541153265420621,0.796248760908022
"TIGD7","ENSG00000140993",107.085419611515,-0.146353881910757,0.239532165373978,-0.61099886807376,0.541200329679671,0.796248760908022
"ARHGEF19","ENSG00000142632",157.508288697333,-0.113121899747746,0.185077236540076,-0.611214549463253,0.541057552502775,0.796248760908022
"FAM124A","ENSG00000150510",126.824699490685,0.124988972823946,0.204496323803379,0.611204008459937,0.541064530018819,0.796248760908022
"RCOR2","ENSG00000167771",110.285537430297,-0.13111391366974,0.214462283359168,-0.611361175569311,0.54096049942021,0.796248760908022
"ACOX2","ENSG00000168306",78.0322788774582,0.178946143102619,0.292532305315745,0.611714124733926,0.540726915005167,0.796248760908022
"CYBC1","ENSG00000178927",1932.86187424106,0.0486598876945219,0.0796329349602502,0.611052295370139,0.541164960022871,0.796248760908022
"REPIN1","ENSG00000214022",3080.84402373773,0.0371815922856447,0.0607764565328417,0.611776243742558,0.540685809395466,0.796248760908022
"CHCHD10","ENSG00000250479",923.224263210396,0.0476880353707426,0.0780154277934132,0.611264165557378,0.541024710208951,0.796248760908022
"ENSG00000290945","ENSG00000290945",133.818161524537,-0.11862494094498,0.194011712479979,-0.611431853410505,0.54091372025566,0.796248760908022
"FAUP4","ENSG00000291174",220.92597564864,-0.108451687049841,0.177290287392536,-0.611718152442945,0.540724249727979,0.796248760908022
"ENSG00000293025","ENSG00000293025",46.665810053891,-0.212217800531397,0.346953333029347,-0.611660936294985,0.54076211228807,0.796248760908022
"HMGA2","ENSG00000149948",5475.86983868969,0.0411917024903586,0.0674314507479796,0.610867807728322,0.541287098447958,0.79629245018409
"OSTM1","ENSG00000081087",1104.81810558349,0.0682883525143637,0.1118424576554,0.61057628691215,0.541480125307797,0.796408465980855
"ENSG00000290263","ENSG00000290263",71.1519447083143,-0.226620432164106,0.371153289955837,-0.610584462799915,0.541474711277668,0.796408465980855
"ENSG00000291046","ENSG00000291046",42.6812541289665,0.204759304361336,0.335420080944415,0.610456308354623,0.541559577589531,0.79644136465997
"SMO","ENSG00000128602",1391.40426258607,-0.0552045993834066,0.0904565129651382,-0.610288829115957,0.541670495535851,0.796442616102218
"PAXIP1","ENSG00000157212",1290.15064498136,0.0444987188471261,0.0729149352131801,0.610282635745695,0.541674597490965,0.796442616102218
"ZNF862","ENSG00000106479",190.444725782872,0.11246199791826,0.184336659710461,0.610090245179148,0.541802028155222,0.796546037599754
"MAPK1","ENSG00000100030",4057.18051326485,-0.0347072229235382,0.0569196596225384,-0.60975808980058,0.542022067807248,0.796785574759955
"TRIOBP","ENSG00000100106",964.963730939503,0.0532218327420549,0.0873041974242946,0.609613676229095,0.54211774992429,0.796799481892112
"STIMATE-MUSTN1","ENSG00000248592",82.4287401797161,-0.194940699698842,0.319799605396684,-0.609571420380692,0.542145748394626,0.796799481892112
"ENSG00000301884","ENSG00000301884",79.7867580571476,0.152383566243674,0.250041900890792,0.609432121979545,0.542238051782444,0.796851200597078
"POLD3","ENSG00000077514",1450.34997748658,-0.0489967972060966,0.0804137014562051,-0.6093090644855,0.542319599966783,0.796851763415971
"PM20D2","ENSG00000146281",1436.90905921363,0.0494902296507309,0.0812301753455355,0.609259175426007,0.542352662370847,0.796851763415971
"ISYNA1","ENSG00000105655",902.205380921031,0.0485732648228472,0.0799964083955894,0.607193070251955,0.5437227905591,0.796885032338377
"SERAC1","ENSG00000122335",283.58316273296,0.0884357830778888,0.145527130015918,0.607692758513244,0.543391266753029,0.796885032338377
"ACTR10","ENSG00000131966",1521.84461348895,-0.0388541861852638,0.0637932990795285,-0.609063753495894,0.542482181782478,0.796885032338377
"TMCC2","ENSG00000133069",106.128734173827,0.13891612557804,0.2282218377067,0.608689014924891,0.542730589658585,0.796885032338377
"PGBD1","ENSG00000137338",334.336994323899,-0.0778154637822143,0.128181631032673,-0.607071880388068,0.543803210499834,0.796885032338377
"GID4","ENSG00000141034",589.60760955903,-0.0654423184521111,0.107772599289463,-0.60722594503211,0.543700976323684,0.796885032338377
"SS18","ENSG00000141380",3560.72599281748,0.0294404768934791,0.0484937488307553,0.607098391098353,0.543785617848459,0.796885032338377
"SYBU","ENSG00000147642",363.356802839968,-0.0949471713080185,0.156306155827414,-0.607443582790525,0.54355657261487,0.796885032338377
"ZNF773","ENSG00000152439",162.288797742853,0.127710160609091,0.210074285811732,0.607928572103036,0.543234848525972,0.796885032338377
"HPS6","ENSG00000166189",770.028116757325,-0.0534883323338338,0.0878286926038618,-0.609007497983432,0.542519468996721,0.796885032338377
"GREM1","ENSG00000166923",87.2133739006685,0.154981299667098,0.255071093195059,0.607600405540976,0.543452531792016,0.796885032338377
"FAM89B","ENSG00000176973",483.373220194566,-0.0769848140727271,0.12677016350988,-0.607278652494023,0.543666002915452,0.796885032338377
"YIPF6","ENSG00000181704",2508.14653203512,-0.0331897789126032,0.0546507439538808,-0.607306991842813,0.543647199141028,0.796885032338377
"C3orf62","ENSG00000188315",103.069578527872,-0.162813123670163,0.268027411036537,-0.607449525556059,0.543552629828821,0.796885032338377
"ZDHHC12-DT","ENSG00000223478",94.2608747100739,-0.149938029442001,0.246621415151174,-0.60796840919144,0.543208426279849,0.796885032338377
"SDCBP2-AS1","ENSG00000234684",146.091312484286,-0.120308283383821,0.197624986361622,-0.608770609419179,0.542676497218155,0.796885032338377
"ENSG00000247679","ENSG00000247679",37.7101282015483,0.231231651088782,0.380302560842748,0.608020231513494,0.543174055695768,0.796885032338377
"ENSG00000259994","ENSG00000259994",31.4917708125624,-0.250786260166276,0.411878365664833,-0.60888427524342,0.542601147815536,0.796885032338377
"ENSG00000271533","ENSG00000271533",236.741467765908,-0.0901499262753862,0.14816618875811,-0.608437910369425,0.542897074341336,0.796885032338377
"C2orf74-AS1","ENSG00000271889",789.495423523708,-0.0662574395506766,0.108931572532514,-0.608248260906174,0.543022830581261,0.796885032338377
"ENSG00000273456","ENSG00000273456",36.1852474219605,0.22860880397016,0.375855907598142,0.608235228843561,0.543031472652779,0.796885032338377
"LINC01138","ENSG00000274020",76.7435252641478,0.169264581255086,0.278501309543492,0.607769426766924,0.543340409241704,0.796885032338377
"LINC01232","ENSG00000280734",32.3497540566654,-0.236355390360591,0.388569481945624,-0.608270595974561,0.543008019481287,0.796885032338377
"ENSG00000285053","ENSG00000285053",143.324065240447,0.625736435915079,1.03035989010177,0.607298907814892,0.543652563036426,0.796885032338377
"ENSG00000288044","ENSG00000288044",68.8326307934365,0.168096260510216,0.276184079228638,0.608638488430241,0.542764087155303,0.796885032338377
"PTPN4","ENSG00000088179",851.127553524488,0.051777583239376,0.0853127113795914,0.606915222855785,0.543907175069064,0.79695367638769
"TTC19","ENSG00000011295",1635.58209637893,-0.0363569782343444,0.0599302611822433,-0.606654760335279,0.544080050902012,0.797123266847094
"ENSG00000276529","ENSG00000276529",72.0723966017479,-0.16584315881171,0.27347546305583,-0.606427929433117,0.544230626799597,0.797260153833261
"APPL1","ENSG00000157500",1566.12489715507,-0.0381727112502344,0.0629794486996524,-0.6061137726416,0.544439205967151,0.797316565253391
"LIG4","ENSG00000174405",472.861710811285,-0.0777761461805637,0.128295389549326,-0.606227132976287,0.544363937680514,0.797316565253391
"ZNF543","ENSG00000178229",77.2060540651911,0.152549031749229,0.251684680271436,0.606111709241532,0.544440576058562,0.797316565253391
"BTN2A3P","ENSG00000291104",70.1313161206291,0.159529194035076,0.263291733983454,0.605902781760333,0.544579312144663,0.79743603726305
"CCNY","ENSG00000108100",2055.34376382441,0.0424209732741533,0.0700551357906506,0.605536950223351,0.544822281010686,0.797540705556719
"ATPSCKMT","ENSG00000150756",525.165400664545,0.0691562179227626,0.114205879999676,0.605539906727732,0.544820317217559,0.797540705556719
"ENSG00000303853","ENSG00000303853",164.778095816108,0.111757938689522,0.184556096817022,0.605549968909044,0.54481363366088,0.797540705556719
"MRPL54","ENSG00000183617",501.667320562572,-0.0642916268098293,0.10620110292511,-0.60537626294866,0.544929019292976,0.797613268692362
"PDCL3","ENSG00000115539",1236.05401558514,-0.0422948817035029,0.0698973632342544,-0.605099817023936,0.54511267582401,0.797717771322739
"LINC02980","ENSG00000272462",87.6759512238531,0.15278477145979,0.252496467442493,0.605096669301275,0.545114767186854,0.797717771322739
"ABTB1","ENSG00000114626",188.556989201497,0.106665892143017,0.176467710900283,0.60444991097148,0.545544561163813,0.798095597919421
"PDSS2","ENSG00000164494",661.479092850042,0.0658613613398686,0.108951172720728,0.604503464214097,0.545508966741019,0.798095597919421
"FZD9","ENSG00000188763",56.899847744171,0.176593287779533,0.292076340749047,0.604613462790753,0.545435859266996,0.798095597919421
"SNX12","ENSG00000147164",2913.37256704913,0.0322608692954934,0.0533938550065493,0.604205657964503,0.545706919722091,0.798229631714687
"LAMTOR1","ENSG00000149357",2174.06002285665,0.0319217822116453,0.0528383905609706,0.604139942052371,0.545750606144381,0.798229631714687
"TXLNGY","ENSG00000291033",1096.96475607177,0.0502512009979099,0.0831958055835435,0.604011231641344,0.545836174881399,0.798271101881057
"PARP10","ENSG00000178685",29.8099454166222,-0.254828072999128,0.42210674624088,-0.603705283719173,0.546039600646095,0.798484908103376
"NOP16","ENSG00000048162",2590.64325355257,0.0342070329246797,0.0566872505199545,0.603434328017699,0.546219791346083,0.798497331188239
"DORIP1","ENSG00000179476",97.2333441244564,0.140220657541042,0.232365210256127,0.603449446612435,0.546209736416527,0.798497331188239
"PABIR1","ENSG00000187866",329.443860809926,-0.0805245255040186,0.133410770126735,-0.60358339456045,0.546120655610673,0.798497331188239
"DGCR6","ENSG00000183628",49.2752345413344,-0.36235861824118,0.600738931444252,-0.603188172556128,0.546383514957082,0.798569327538363
"RALY-AS1","ENSG00000285230",124.364124408022,-0.133682435278222,0.221598911578628,-0.603263050011817,0.546333709680632,0.798569327538363
"RFC1","ENSG00000035928",2470.36953399564,-0.0537159213010586,0.089129342271127,-0.602673821351193,0.54672570013862,0.798734761082097
"EDARADD","ENSG00000186197",226.1379809736,-0.0923704484374334,0.153234834408239,-0.602803199377929,0.546639618136947,0.798734761082097
"PPM1N","ENSG00000213889",125.131847000031,-0.129855061019928,0.215444476370548,-0.602730982977661,0.546687666676217,0.798734761082097
"ENSG00000289586","ENSG00000289586",56.2020544238002,-0.187055447256327,0.310330912348714,-0.602761245538232,0.546667531496255,0.798734761082097
"ZNF181","ENSG00000197841",270.294017322484,0.0876695926804523,0.145509336022723,0.60250149630785,0.54684036747206,0.798818637521744
"NEK11","ENSG00000114670",198.610706853466,0.0966565879448462,0.160481050814768,0.602292840519907,0.54697922569289,0.798937830492797
"FAM174A","ENSG00000174132",256.386297613,0.0930177115987498,0.154474305355337,0.602156529429158,0.547069948707277,0.798986697829365
"GPC2","ENSG00000213420",64.3676035788617,-0.18359091772868,0.305027652481787,-0.601882866143234,0.547252110134059,0.799169085261712
"TNRC6A","ENSG00000090905",3847.07280464532,-0.0291638566005149,0.0484621230957531,-0.601786606478053,0.547316191621055,0.79917901679717
"RNF126","ENSG00000070423",1102.52958664315,0.048829112112579,0.0812364314444298,0.601074065470008,0.547790656156791,0.79936986033883
"PSMD5","ENSG00000095261",2286.68343611751,-0.0329454062966901,0.0548101477705999,-0.601082238175648,0.54778521298905,0.79936986033883
"ATP11C","ENSG00000101974",1991.02800643584,-0.0343566499283363,0.0571509821274613,-0.601155897053741,0.547736156068858,0.79936986033883
"ANTXR2","ENSG00000163297",122.45617452569,-0.141314905637266,0.234955756451942,-0.601453259844564,0.547538134103984,0.79936986033883
"ZNF16","ENSG00000170631",196.510218280401,0.100846619397315,0.167687577264976,0.601395887770266,0.547576336970891,0.79936986033883
"MAN1B1","ENSG00000177239",2033.06391562014,0.0346649852787037,0.0576616591465815,0.601179116101774,0.5477206925993,0.79936986033883
"MAST1","ENSG00000105613",90.9351945573051,0.149590219058851,0.249164161316371,0.600368119831296,0.548260929428094,0.799721535533797
"POC5","ENSG00000152359",467.770714307183,-0.0657397444953422,0.109489970503158,-0.600417957857116,0.548227722749768,0.799721535533797
"EOGT","ENSG00000163378",752.464663380724,-0.0710136966410401,0.118282167678497,-0.600375340043333,0.548256118596966,0.799721535533797
"WASH6P","ENSG00000292372",289.673195548677,0.841119718739696,1.40046210543565,0.600601555354506,0.548105401777532,0.799721535533797
"OSBPL8","ENSG00000091039",2222.17155260159,-0.0421792113471932,0.070275765932309,-0.600195683214909,0.548375830233404,0.799805517814808
"B9D2","ENSG00000123810",206.136889367921,-0.0988655929182375,0.164802315668208,-0.599904148903349,0.548570117224208,0.7999233925246
"GNB1L","ENSG00000185838",299.159970834665,0.0885007622876661,0.147525280653846,0.59990234823091,0.548571317350586,0.7999233925246
"FOXP4","ENSG00000137166",956.62186584974,0.0514492552280975,0.0858027820192287,0.599622226894316,0.548758030615757,0.800034636422694
"NEK10","ENSG00000163491",66.6424562549548,0.198335935007321,0.330771675332818,0.599615837141309,0.548762290034775,0.800034636422694
"C9orf40","ENSG00000135045",391.301086345347,-0.0776951408356804,0.129646898369577,-0.599282680980143,0.548984395040722,0.800050359422029
"RRAGA","ENSG00000155876",2275.80011693795,-0.0343060053107343,0.05724770025759,-0.599255606013378,0.549002447040317,0.800050359422029
"FIGN","ENSG00000182263",625.585869271437,0.0630414704087719,0.105195713139084,0.599277941349397,0.548987555127323,0.800050359422029
"SPICE1-CFAP44","ENSG00000285943",184.203689149361,-0.122689685024022,0.204669936712196,-0.599451424058172,0.548871893656631,0.800050359422029
"SENP7","ENSG00000138468",289.36152542416,-0.0868907911524524,0.14505805958952,-0.599006986570292,0.549168225592862,0.800208363809045
"ERCC1","ENSG00000012061",2601.43314025096,0.0305385970471796,0.0510383043041703,0.598346623453248,0.549608673217425,0.800442357818723
"CBLL1","ENSG00000105879",1194.10122013674,0.045964447772366,0.0767767063352411,0.598676994187076,0.54938830146335,0.800442357818723
"CCDC28B","ENSG00000160050",90.7939445577212,-0.159133867749893,0.265928873228628,-0.598407633657293,0.549567973457944,0.800442357818723
"IL15","ENSG00000164136",205.342227816209,0.104982862961796,0.175458000976775,0.598336139573892,0.54961566713757,0.800442357818723
"DAPK1","ENSG00000196730",1550.92344543921,0.0489074376352538,0.0817077914287878,0.598565164717234,0.549462891740747,0.800442357818723
"TASP1","ENSG00000089123",502.860043495987,-0.0649901802466971,0.108687375082356,-0.597955192104436,0.549869831464656,0.80064536512157
